lucode,LULC_desc,LULC_veg,root_depth,Kc
1,ConiferousForest,1,3500,1
2,DeciduousForest,1,3500,1
3,DeciduousForest,1,3500,1
4,DeciduousForest,1,3500,1
5,DeciduousForest,1,3500,1
6,DeciduousForest,1,3500,1
7,Shrubland,1,2000,0.5
8,Shrubland,1,2000,0.5
9,Shrubland,1,2000,0.5
10,InlandMarsh,0,2000,0.5
11,SparseVegetation,1,1175,0.365
12,SparseVegetation,1,1175,0.365
13,Grassland,1,2000,0.65
14,AgriculturalVegetation,1,1000,0.65
15,ArtificialSurface,0,0,0.29
16,BareArea,0,500,0.2
17,WaterBody,0,10,1
18,ForestPlantation,1,3500,1
