lucode,LULC_name,C_above,C_below,C_soil,C_dead
1,ConiferousForest,87,0,0,0
2,DeciduousForest,126,0,0,0
3,DeciduousForest,87,0,0,0
4,DeciduousForest,193,0,0,0
5,DeciduousForest,193,0,0,0
6,DeciduousForest,126,0,0,0
7,Shrubland,50,0,0,0
8,Shrubland,50,0,0,0
9,Shrubland,50,0,0,0
10,InlandMarsh,50,0,0,0
11,SparseVegetation,2.5,0,0,0
12,SparseVegetation,2.5,0,0,0
13,Grassland,4.5,0,0,0
14,AgriculturalVegetation,5,0,0,0
15,ArtificialSurface,0,0,0,0
16,BareArea,1,0,0,0
17,WaterBody,0,0,0,0
18,ForestPlantation,68,0,0,0
